airline_sentiment,text,geographic_location,ethnicity,age,device
negative,"@SouthwestAir I am scheduled for the morning, 2 days after the fact, yes..not sure why my evening flight was the only one Cancelled Flightled","Baltimore, MD",Hispanic,21,tablet
positive,@SouthwestAir seeing your workers time in and time out going above and beyond is why I love flying with you guys. Thank you!,"San Diego, CA",Hispanic,23,mobile
positive,"@united Flew ORD to Miami and back and  had great crew, service on both legs. THANKS","Seattle, WA",Hispanic,51,laptop
negative,@SouthwestAir @dultch97 that's horse radish 😤🐴,"Tucson, AZ",African American,33,tablet
negative,"@united so our flight into ORD was delayed because of Air Force One, but the last flight to SBN is at 8:20, 5 mins from now we just landed.","San Antonio, TX",Hispanic,34,laptop
negative,@united Why did you load us in this flying sardine can if you knew the pilots were 2 hours Late Flight?? #incompetent beyond belief,"New York, NY",African American,64,tablet
negative,@JetBlue that is a stock response. Delays not as frustrating as poor cust serv &amp; being told by 3 ppl to wait &amp; they'd come back but did not.,"San Antonio, TX",African American,64,laptop
positive,@JetBlue That'd be nice! Hoping to rack up enough miles to take a trip to Seattle and enjoy a perfect latte in the city of coffee.,"New York, NY",African American,51,mobile
negative,"@united frankly worse customer service ever. Problems will happen, how you deal defines a company. Never again United.","New Orleans, LA",African American,56,laptop
positive,@SouthwestAir yeah haha. Never been in one. It's expensive 😂😂 and we will!!!!! So much fun! #destinationdragons,"Wichita, KS",Hispanic,44,mobile
negative,@SouthwestAir MCO-&gt;DCA flight almost full of people screwed by the MSY-DCA Cancelled Flightation. @united and @USAirways didn't Cancelled Flight. SWA=mistake.,"Riverside, CA",Caucasian,34,mobile
neutral,@JetBlue what's the easiest way to get a ticket receipt? Can I get one at check in or can I get one online? Thanks!,"Santa Ana, CA",Hispanic,49,mobile
positive,"@USAirways - love the changes in the lounge - cheese, veggies, olives in addition to the crackers and snack mix,","San Antonio, TX",Asian,54,mobile
negative,@SouthwestAir I receive bad customer service and ended up spending several hundred dollars to accommodate my family during each cxl flight,"Baltimore, MD",Hispanic,64,laptop
negative,@USAirways you're killing me sche a flight to board 3 min after mine arrived with gate on other side of airport #genious,"Pittsburgh, PA",Native American,63,tablet
negative,@USAirways 8 weeks to refund this ticket - 0372389047497?!? - totally unacceptable.  Fix this or I'll put it on blast on social media and TV,"San Jose, CA",Asian,64,mobile
negative,@AmericanAir no private msg me and will provide details...u really need customer svc training for your staff,"Laredo, TX",African American,60,tablet
negative,can you not? RT @JetBlue Our fleet's on fleek. http://t.co/413GiAL0yl,"Sacramento, CA",Caucasian,41,laptop
negative,@JetBlue any info on why flight 704 from SJU to JFK is already delayed 2 1/2 hours?,"Sacramento, CA",Caucasian,39,laptop
negative,"@AmericanAir, I've tried no less than 8 times today to get in touch with your service desk beginning at 8:30 EST.  I'm having no luck -help!","Tampa, FL",Hispanic,59,tablet
negative,@USAirways new problem...had wrong last name on reservation which is airways fixed. New can't get through TSA,"Colorado Springs, CO",African American,28,tablet
neutral,@SouthwestAir Any possible chance of SWA bringing back service between LGA-BWI? It would make it much easier to connect to the west coast.,"New Orleans, LA",Caucasian,42,laptop
negative,@USAirways @AmericanAir who runs the show at the airport have a boarding pass says us airways and I have to wait in American line #yousuck,"Saint Paul, MN",Caucasian,55,tablet
negative,@united computers are down but you stopped giving updates and took my flight info off the app. That's just ridiculous keep people updated!,"Portland, OR",Hispanic,47,laptop
positive,@united good fly!! #United #businessFirst,"Oakland, CA",Caucasian,40,mobile
neutral,"@united I am flying from msp to dxb, my child will turn 2 during the trip do I have to buy a return ticket for my child?","Chicago, IL",African American,60,tablet
negative,@JetBlue loves Cancelled Flightling tickets and not telling their customers #flyunited,"Wichita, KS",Caucasian,63,laptop
negative,"@united In ORD, waited 20 min after crew members left before gate items came. Flight attendant sarcastically said good luck and walked away.","Corpus Christi, TX",African American,39,mobile
positive,@SouthwestAir Jason (108639) at Gate #3 in SAN made my afternoon!!! #southwestairlines #stellarservice #thanks!,"Dallas, TX",African American,45,tablet
positive,@AmericanAir everything for sorted out. Thanks for the help. Excited to get home tonight!,"Oakland, CA",Caucasian,51,tablet
